continent,week,value
Africa,10,2038
Africa,11,2118
Africa,12,2001
Africa,13,1853
Africa,14,1866
America,10,32133
America,11,30890
America,12,35296
America,13,32275
America,14,44220
Asia,10,5286
Asia,11,5783
Asia,12,6185
Asia,13,7691
Asia,14,13052
Europe,10,14802
Europe,11,15569
Europe,12,17545
Europe,13,16789
Europe,14,17992
Europe,10,21320
Europe,11,23285
Europe,12,25535
Europe,13,25129
Europe,14,27637
Oceania,10,6
Oceania,11,17
Oceania,12,12
Oceania,13,18
Oceania,14,9
